id	pmc3	soc3	ozc3	pmc2	soc2	ozc2	pmc1	soc1	ozc1
15858	22.57686	.043782	.113823	25.43756	.047774	.124849	31.99331	.048364	.121768
13425	21.79158	.044974	.10126	20.10172	.036659	.137727	22.0386	.050373	.113737
14931	22.89819	.043926	.107953	23.41485	.035785	.104569	21.34937	.035426	.141035
13802	25.96744	.043204	.11765	23.48096	.035606	.103952	24.69738	.035076	.103813
15813	25.88684	.043336	.118185	21.51749	.035232	.141918	24.9389	.048296	.112052
12584	25.56882	.044982	.083513	21.75093	.047137	.059654	25.38781	.055338	.109636
16125	25.6491	.044456	.127779	21.66881	.030335	.118111	27.83162	.050854	.111441
14139	25.89439	.043878	.141957	21.73835	.043702	.141226	21.91423	.029727	.133806
13292	26.05106	.041029	.085882	23.40633	.03607	.082049	25.29827	.051522	.108922
13459	25.53886	.043869	.111187	21.90835	.044765	.105691	19.81173	.036556	.142537
14833	25.84347	.043627	.119404	24.05355	.04836	.102953	31.13981	.048402	.088231
14995	25.14689	.04355	.128281	23.52538	.035495	.107449	24.85674	.035522	.114521
13844	25.64235	.043392	.120781	22.74825	.043878	.110392	33.52259	.038337	.107962
13226	24.97029	.04977	.09403	26.03832	.041769	.086862	29.32583	.056814	.06995
16120	25.62911	.044489	.12692	21.65351	.030406	.117055	23.88309	.036528	.109831
15786	25.90611	.043329	.118009	22.8401	.04391	.108875	21.50435	.035248	.141819
14969	25.42013	.043547	.123323	22.63559	.043928	.112124	25.18605	.047973	.117458
15033	25.0021	.043627	.131473	22.49865	.043857	.114747	22.51641	.032654	.100756
13191	24.6549	.053516	.100739	21.64395	.040989	.110251	24.67839	.034001	.084375
14193	25.90789	.043777	.142478	22.24255	.032552	.152687	24.2143	.044764	.127865
13017	24.68291	.048467	.097569	22.21608	.0414	.089167	24.11087	.036007	.079595
15734	25.72651	.043452	.119684	21.98293	.033137	.104723	21.54665	.035116	.142758
14768	26.01208	.043385	.116152	23.22246	.036128	.10658	22.67655	.048875	.106456
16425	25.86843	.043854	.137238	24.02113	.033895	.110171	21.89067	.030334	.12856
16164	25.66864	.044424	.129473	23.62634	.034353	.107018	21.89126	.033082	.144441
14111	25.88802	.043259	.141877	24.16676	.03238	.11197	21.90056	.028893	.133968
16381	25.66023	.044429	.12779	23.92553	.036472	.110816	27.83706	.050736	.111574
14185	25.91147	.043809	.143311	24.23443	.033509	.11278	28.84046	.050689	.110051
13098	25.29497	.046758	.087347	21.42446	.035789	.090546	26.04669	.042343	.083728
15698	25.78111	.043433	.119161	21.94269	.033173	.104812	24.87906	.048239	.111578
16272	25.60089	.044466	.124248	23.39751	.034995	.106148	23.9324	.036498	.106809
16285	25.6159	.044319	.124069	21.71144	.033678	.142936	31.77595	.048526	.102683
15454	24.97587	.04359	.132239	23.55838	.035264	.1087	25.50469	.0474	.129154
15852	25.15101	.043463	.128633	22.5656	.043778	.114022	22.44614	.032892	.101894
13993	25.91767	.043748	.144171	21.73257	.043574	.143856	24.07083	.035763	.127248
14148	25.88898	.043907	.14138	22.21845	.032553	.151908	24.06833	.035938	.124549
15793	25.84349	.043357	.11859	24.44345	.035157	.102973	33.42833	.038425	.105466
15408	24.96056	.043632	.132528	23.56312	.035363	.108831	25.50798	.047519	.129436
15898	25.3034	.045041	.12117	21.67977	.044781	.115189	21.23945	.033819	.140725
14170	25.9121	.043752	.14298	24.2244	.033548	.112637	24.19805	.035817	.126134
12768	25.17138	.046311	.090399	24.23168	.034585	.072843	24.68876	.053931	.109722
15844	25.1491	.043466	.12863	23.52836	.03543	.107452	25.44526	.047754	.125359
15804	25.86839	.04333	.118365	21.94617	.033271	.104584	33.42999	.038421	.105424
13199	24.78886	.051079	.099812	20.94044	.037229	.092746	24.73163	.033875	.08341
14935	25.65542	.043829	.120847	23.34703	.035836	.108285	21.29459	.034948	.143466
13653	25.53759	.044305	.113098	21.10078	.035543	.089271	24.98141	.046989	.110118
13154	25.23849	.047171	.09577	21.57751	.051414	.076018	28.77812	.058052	.069985
15321	25.0458	.043757	.130505	22.48098	.03233	.10152	25.44684	.047284	.126802
15586	25.86738	.043462	.118525	33.32944	.038503	.104149	31.18247	.04833	.094484
14854	26.114	.043271	.116463	21.63443	.033454	.105177	23.75995	.034894	.098513
15347	25.01012	.043719	.13139	22.51114	.03235	.100983	24.90153	.03579	.118145
16220	25.75399	.044164	.129962	23.71357	.03443	.107488	24.1669	.036237	.113464
13012	24.75348	.048209	.096519	22.27759	.041259	.088583	24.1291	.035825	.078613
15741	25.72308	.043448	.119722	24.44854	.035264	.103758	24.94721	.048195	.112552
12718	25.21564	.045625	.092833	21.51107	.046447	.073662	23.97534	.034528	.075033
15889	25.37161	.044934	.121178	23.42663	.036914	.102319	23.83685	.046649	.109934
16275	25.60461	.0444	.12387	21.72124	.031068	.112095	24.01073	.036432	.106471
15493	25.23094	.043495	.126797	22.58752	.043848	.113261	24.83971	.035456	.112913
13935	25.92527	.043699	.144765	21.73411	.043507	.144564	24.15865	.035746	.127825
14195	25.90885	.043795	.142745	21.74566	.043601	.142191	22.24483	.032544	.152853
13671	25.46203	.04451	.113297	22.83425	.036862	.108458	19.46214	.035583	.148695
13138	25.37883	.046531	.093709	25.60995	.061932	.1084	29.14475	.056609	.068999
13731	25.22144	.04514	.11701	20.20796	.034775	.142595	22.16977	.0368	.095716
