"Product" "Country" "TariffFinal" "TariffBase" "Import" "Price2" "MisMatch" "Herf" "Ave_cd"
100810 "Estonia" 20 0 0.126800000667572 0.190643805870993 0.126800000667572 NA 0
100810 "Latvia" 50 0.5 0.41839998960495 0.190643805870993 0.41839998960495 NA 0.448763191699982
100810 "Lithuania" 20 0 0.749000012874603 0.190643805870993 0.570800006389618 0.587625853245008 0
100810 "Moldova" 20 15 0.104999996721745 0.190643805870993 0.0847999975085258 1 0
100810 "Oman" 15 5 0.0472000017762184 0.190643805870993 0 1 0.132820785045624
100830 "Jordan" 10 10 0.0725999996066093 0.190643805870993 0 1 0
100890 "China" 1.5 1.79999995231628 0.107799999415874 0.190643805870993 0 1 0
100890 "Estonia" 16.6700000762939 0 0.0392000004649162 0.190643805870993 0.0148000000044703 1 0
100890 "Jordan" 15 10 0.0230000000447035 0.190643805870993 0 1 0
100890 "Lithuania" 15 0 0.168599992990494 0.190643805870993 0.168599992990494 NA 0
100890 "Oman" 5 5 0.941600024700165 0.190643805870993 0 1 0.0329007543623447
10111 "China" 0 0 2.04879999160767 2.02076276632202 0.0199999995529652 0.705051341906826 0
10111 "Jordan" 5 5 0.17960000038147 2.02076276632202 0.0395999997854233 0.235367346938776 0.000137608003569767
10111 "Latvia" 50 0.5 0.0494000017642975 2.02076276632202 0 1 2.62000003203866e-06
10111 "Lithuania" 25 20 0.0351999998092651 2.02076276632202 0 1 0
10111 "Oman" 15 5 0.0143999997526407 2.02076276632202 0 1 8.55000034789555e-05
10119 "China" 10 10.3999996185303 0.261400014162064 2.02076276632202 0 0.292244865941675 0
10119 "Estonia" 20 0 0.0252000000327826 2.02076276632202 0 1 0
10119 "Jordan" 5 5 0.116200000047684 2.02076276632202 0 0.410696140845655 0.607850551605225
10119 "Latvia" 50 15 0.0172000005841255 2.02076276632202 0 1 1.22740030288696
10119 "Lithuania" 25 20 0.0179999992251396 2.02076276632202 0 1 0
10119 "Oman" 15 5 0.223600000143051 2.02076276632202 0 0.506350786127796 1.05628621578217
10120 "China" 5 5.19999980926514 0.0351999998092651 2.02076276632202 0 1 0
10210 "Albania" 5 10 0.153200000524521 2.02076276632202 0 0.469663710298659 1.09084749221802
10210 "China" 0 0 1.50720000267029 2.02076276632202 0 0.332461333511389 0
10210 "Estonia" 0 0 0.0454000011086464 2.02076276632202 0 0.566845853791069 0
10210 "Latvia" 10 0.5 0.235200002789497 2.02076276632202 0.0412000007927418 0.307701137209055 1.11725962162018
10210 "Lithuania" 20 20 0.646200001239777 2.02076276632202 0 0.630748280474255 0
10210 "Oman" 5 5 0.0799999982118607 2.02076276632202 0 1 1.36866962909698
