	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	fig3_panelA	fig3_panelB	fig3_panelC	fig3_panelD	text_1930_farm_low	text_1930_farm_med	text_1930_farm_high	text_1930_val_low	text_1930_val_med	text_1930_val_high	text_1930_val_tot	fig3_rev	text_ratio_pdv_h	text_ratio_pdv_m	text_ratio_pdv_hm	t2_landvalue_a	text_tot_cost	t2_landvalue_b	text_1930_farm_low	text_1930_farm_med	text_1930_farm_high	text_1930_val_low	text_1930_val_med	text_1930_val_high
																								
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.076)												
m1_2_1982	-0.0744222499	-0.3261898775	-0.3537642915	-0.3477124964								-0.342**												
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.079)												
m1_2_1987	-0.0220719051	-0.3050351783	-0.3124284130	-0.2951489630								-0.257**												
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.082)												
m1_2_1992	0.0877102511	-0.2172664046	-0.2352316351	-0.2153864247								-0.317**												
	(0.0947182032)	(0.0516113318)	(0.0506259033)	(0.0396718109)								(0.096)												
o.m1_2_1997	-	-	-	-																				
																								
control_farmland_a_1910		-0.4246279156	-0.4949491784	-0.0000000000																				
		(0.0947843439)	(0.1436597673)	(0.1143947102)																				
control_farmland_a_1920		0.1206840077	-0.0041359211	-0.0000000000																				
		(0.0947843439)	(0.1436597673)	(0.1143947102)																				
control_farmland_a_1925		0.0357219333	0.0294583831	-0.0000000000																				
		(0.0947843439)	(0.1436597673)	(0.1143947102)																				
control_farmland_a_1930		0.0498873733	-0.0209209959	-0.0000000000																				
		(0.0947843439)	(0.1436597673)	(0.1143947102)																				
control_farmland_a_1940		0.3681296377	-0.0137725912	0.1315803444								-0.067				0.132								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.194)				(0.130)								
control_farmland_a_1945		0.4204397387	0.1226576331	0.2190481855								0.275				0.219								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.147)				(0.128)								
control_farmland_a_1950		0.2442602948	0.2065685443	0.3045806199								0.204				0.299*								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.185)				(0.121)								
control_farmland_a_1954		0.1306619122	0.2870122142	0.3852214201								0.132				0.391**								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.218)				(0.129)								
control_farmland_a_1959		-0.0280305266	0.1298403551	0.2242363108								0.060				0.229								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.229)				(0.167)								
control_farmland_a_1964		-0.1218799828	0.1099539575	0.1458723209								0.092				0.147								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.214)				(0.150)								
control_farmland_a_1969		-0.2322486402	-0.0100640195	0.0507301482								0.142				0.045								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.238)				(0.147)								
o.control_farmland_a_1974		-	-	-								-				-								
																								
control_farmland_a_1978		-0.2830821593	-0.2884736487	-0.1753693051								0.366				-0.177								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.289)				(0.173)								
control_farmland_a_1982		-0.2301986311	-0.2865787049	-0.1705489882								0.307				-0.162								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.303)				(0.193)								
control_farmland_a_1987		-0.2173182361	-0.2610320469	-0.1692555854								0.247				-0.170								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.304)				(0.198)								
control_farmland_a_1992		-0.2162383441	-0.1567994985	-0.0653126112								-0.007				-0.071								
		(0.0947843439)	(0.1436597673)	(0.1143947102)								(0.348)				(0.194)								
o.control_farmland_a_1997		-	-	-								-				-								
																								
control_cropland_f_1910		1.3856471637	0.1584621763	-0.0000000000																				
		(0.1027148728)	(0.2192836165)	(0.1924811320)																				
control_cropland_f_1920		1.7953886543	0.3787964401	-0.0000000000																				
		(0.1027148728)	(0.2192836165)	(0.1924811320)																				
control_cropland_f_1925		1.7612357051	0.3383940439	-0.0000000000																				
		(0.1027148728)	(0.2192836165)	(0.1924811320)																				
control_cropland_f_1930		1.7043028781	1.7325227128	0.0000000000																				
		(0.1027148728)	(0.2192836165)	(0.1924811320)																				
control_cropland_f_1940		1.2554288589	0.6230042582	-1.00171e+00								-0.512				-1.002**								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.393)				(0.274)								
control_cropland_f_1945		1.5748913206	1.1928061434	-0.4221831493								0.908**				-0.422								
