msacode	population
37340	"476,230"
37380	"49,832"
37460	"148,217"
37620	"164,624"
37700	"150,564"
37860	"412,153"
37900	"366,899"
37980	"5,687,147"
37980	"1,186,999"
37980	"3,849,647"
37980	"650,501"
38060	"3,251,876"
38220	"107,341"
38300	"2,431,087"
38340	"134,953"
38540	"83,103"
38860	"487,568"
38900	"1,927,881"
38940	"319,426"
39100	"621,517"
39140	"167,517"
39300	"1,582,997"
39340	"376,774"
39380	"141,472"
39460	"141,627"
39540	"188,831"
39580	"797,071"
39660	"112,818"
39740	"373,638"
39820	"163,256"
39900	"342,885"
40060	"1,096,957"
