msa	msacode	year	quarter	index_msa
"Akron, OH"	10420	1992	4	90.3
"Akron, OH"	10420	1993	1	91.21
"Akron, OH"	10420	1993	2	92.1
"Akron, OH"	10420	1993	3	93.91
"Akron, OH"	10420	1993	4	95.55
"Akron, OH"	10420	1994	1	95.81
"Akron, OH"	10420	1994	2	96.73
"Akron, OH"	10420	1994	3	98.95
"Akron, OH"	10420	1994	4	98.73
"Akron, OH"	10420	1995	1	100
"Akron, OH"	10420	1995	2	101.66
"Akron, OH"	10420	1995	3	103.44
"Akron, OH"	10420	1995	4	104.75
"Akron, OH"	10420	1996	1	107.35
"Akron, OH"	10420	1996	2	107.31
"Akron, OH"	10420	1996	3	108.15
"Akron, OH"	10420	1996	4	109.78
"Akron, OH"	10420	1997	1	110.8
"Akron, OH"	10420	1997	2	111.7
"Akron, OH"	10420	1997	3	114.14
"Akron, OH"	10420	1997	4	115.57
"Akron, OH"	10420	1998	1	117.45
"Akron, OH"	10420	1998	2	118.41
"Akron, OH"	10420	1998	3	119.81
"Akron, OH"	10420	1998	4	121.46
"Akron, OH"	10420	1999	1	122.33
"Akron, OH"	10420	1999	2	123.63
"Akron, OH"	10420	1999	3	123.67
"Akron, OH"	10420	1999	4	123.85
"Akron, OH"	10420	2000	1	124.12
"Akron, OH"	10420	2000	2	125.74
"Akron, OH"	10420	2000	3	127.88
"Akron, OH"	10420	2000	4	129.33
"Akron, OH"	10420	2001	1	132.15
"Akron, OH"	10420	2001	2	133.58
"Akron, OH"	10420	2001	3	134.5
"Akron, OH"	10420	2001	4	136.47
"Akron, OH"	10420	2002	1	137.1
"Akron, OH"	10420	2002	2	137.2
"Akron, OH"	10420	2002	3	139.09
"Akron, OH"	10420	2002	4	140.24
"Akron, OH"	10420	2003	1	141.02
"Akron, OH"	10420	2003	2	142.11
"Akron, OH"	10420	2003	3	143.52
"Akron, OH"	10420	2003	4	143.81
"Akron, OH"	10420	2004	1	145.02
"Akron, OH"	10420	2004	2	145.76
"Akron, OH"	10420	2004	3	146.76
"Akron, OH"	10420	2004	4	148.78
"Akron, OH"	10420	2005	1	149.49
"Akron, OH"	10420	2005	2	151.62
"Akron, OH"	10420	2005	3	152.71
"Akron, OH"	10420	2005	4	153.42
"Akron, OH"	10420	2006	1	155.39
"Akron, OH"	10420	2006	2	152.07
"Akron, OH"	10420	2006	3	151.12
"Akron, OH"	10420	2006	4	154.56
"Akron, OH"	10420	2007	1	154.22
"Akron, OH"	10420	2007	2	152.71
"Akron, OH"	10420	2007	3	151.35
"Akron, OH"	10420	2007	4	151.23
"Albany, GA"	10500	1975	1	-
"Albany, GA"	10500	1975	2	-
"Albany, GA"	10500	1975	3	-
"Albany, GA"	10500	1975	4	-
"Albany, GA"	10500	1976	1	-
"Albany, GA"	10500	1976	2	-
"Albany, GA"	10500	1976	3	-
"Albany, GA"	10500	1976	4	-
"Albany, GA"	10500	1977	1	-
"Albany, GA"	10500	1977	2	-
"Albany, GA"	10500	1977	3	-
"Albany, GA"	10500	1977	4	-
"Albany, GA"	10500	1978	1	-
"Albany, GA"	10500	1978	2	-
"Albany, GA"	10500	1978	3	-
"Albany, GA"	10500	1978	4	-
"Albany, GA"	10500	1979	1	-
"Albany, GA"	10500	1979	2	-
"Albany, GA"	10500	1979	3	-
"Albany, GA"	10500	1979	4	-
"Albany, GA"	10500	1980	1	-
"Albany, GA"	10500	1980	2	-
"Albany, GA"	10500	1980	3	-
"Albany, GA"	10500	1980	4	-
"Albany, GA"	10500	1981	1	-
"Albany, GA"	10500	1981	2	-
"Albany, GA"	10500	1981	3	-
"Albany, GA"	10500	1981	4	-
"Albany, GA"	10500	1982	1	-
"Albany, GA"	10500	1982	2	-
"Albany, GA"	10500	1982	3	-
"Albany, GA"	10500	1982	4	-
"Albany, GA"	10500	1983	1	-
"Albany, GA"	10500	1983	2	-
"Albany, GA"	10500	1983	3	-
"Albany, GA"	10500	1983	4	-
"Albany, GA"	10500	1984	1	-
"Albany, GA"	10500	1984	2	-
"Albany, GA"	10500	1984	3	-
"Albany, GA"	10500	1984	4	-
"Albany, GA"	10500	1985	1	-
"Albany, GA"	10500	1985	2	-
"Albany, GA"	10500	1985	3	-
"Albany, GA"	10500	1985	4	-
"Albany, GA"	10500	1986	1	-
"Albany, GA"	10500	1986	2	-
"Albany, GA"	10500	1986	3	-
"Albany, GA"	10500	1986	4	-
"Albany, GA"	10500	1987	1	-
"Albany, GA"	10500	1987	2	-
"Albany, GA"	10500	1987	3	-
"Albany, GA"	10500	1987	4	-
"Albany, GA"	10500	1988	1	-
"Albany, GA"	10500	1988	2	92.15
"Albany, GA"	10500	1988	3	-
"Albany, GA"	10500	1988	4	90.44
"Albany, GA"	10500	1989	1	87.42
"Albany, GA"	10500	1989	2	88.5
"Albany, GA"	10500	1989	3	86.93
"Albany, GA"	10500	1989	4	88.98
"Albany, GA"	10500	1990	1	88.31
"Albany, GA"	10500	1990	2	88.12
"Albany, GA"	10500	1990	3	94.6
"Albany, GA"	10500	1990	4	91.1
"Albany, GA"	10500	1991	1	93.21
"Albany, GA"	10500	1991	2	91.7
"Albany, GA"	10500	1991	3	88.87
"Albany, GA"	10500	1991	4	90.32
"Albany, GA"	10500	1992	1	93.03
