STATE	NDMTCODE	NAME	COUNTY	STATEABL	DUSTBOWA	PCPUBWOR	PCAAA	PCRELIEF	PCNDLOAN	PCNDINS	POP30T
37	70	BENNETT	70	SD	0	8.731481481	42.5220915	12.85620915	26.80944081	0.590893246	4.59
37	90	BON HOMME	90	SD	0	3.895245804	16.17956888	14.25720655	14.50021868	0.527715771	11.737
37	110	BROOKINGS	110	SD	0	10.06006015	16.71250668	11.80166597	15.75995726	0.891434677	16.847
37	130	BROWN	130	SD	0	9.654703626	24.20329964	17.76415644	21.97829911	1.490495264	31.458
37	150	BRULE	150	SD	0	9.238291082	20.02303128	23.21613179	22.90704782	0.497491909	7.416
37	170	BUFFALO	170	SD	0	44.72268255	32.55422061	23.40574832	21.56513033	0	1.931
37	190	BUTTE	190	SD	0	7.689370125	15.98444522	11.0590872	9.39966624	2.37936896	8.589
37	210	CAMPBELL	210	SD	0	4.685734589	39.71234678	21.52960857	26.47520578	0.072233079	5.629
37	230	CHARLES MIX	230	SD	0	3.094444112	20.99082799	17.46927698	15.28835139	0.128120697	16.703
37	250	CLARK	250	SD	0	3.401227847	26.41402649	23.86576846	20.06099317	0.138069316	11.022
37	270	CLAY	270	SD	0	7.204070843	19.58384219	10.75490682	15.36383822	1.549385408	10.088
37	290	CODINGTON	290	SD	0	8.0498081	11.6042619	21.97720112	13.98348704	2.146726242	17.457
37	310	CORSON	310	SD	0	5.01365146	27.88383849	18.60763852	24.19213424	0.089900367	9.535
37	330	CUSTER	330	SD	0	25.8774519	5.936035868	17.99810075	16.83101065	1.157855408	5.353
37	350	DAVISON	350	SD	0	5.471147177	9.005398014	20.44539564	18.82780651	1.315914631	16.821
37	370	DAY	370	SD	0	7.083470263	27.83282213	18.80407595	23.35230271	0.327837875	14.606
37	390	DEUEL	390	SD	0	8.161723164	19.62111773	14.18384486	14.570255	0.281584975	8.732
37	410	DEWEY	410	SD	0	24.15464793	18.53925263	22.88547457	15.947972	0.197282273	6.476
37	430	DOUGLAS	430	SD	0	5.446287083	19.83800442	20.69635618	15.35483693	0.071365395	7.236
37	450	EDMUNDS	450	SD	0	6.2390955	37.76136364	21.45877334	29.86385063	0.277548209	8.712
37	470	FALL RIVER	470	SD	0	6.972485986	9.398375472	13.91522709	10.31846852	2.176707471	8.741
37	490	FAULK	490	SD	0	5.973144791	40.19431472	20.89709935	28.55402466	0.130007252	6.895
37	510	GRANT	510	SD	0	6.5326374	20.68364246	20.36101532	14.89641159	0.812545438	10.729
37	530	GREGORY	530	SD	0	3.831348511	18.12492119	19.03301226	17.76380619	0.568739054	11.42
37	550	HAAKON	550	SD	0	2.038184797	24.49895277	23.61690532	22.59120895	0.27574268	4.679
37	570	HAMLIN	570	SD	0	3.351086476	22.37339438	20.46250552	16.68102984	0.272273768	8.299
37	590	HAND	590	SD	0	7.580144087	32.52953084	21.82820242	28.83046213	0.328286769	9.485
37	610	HANSON	610	SD	0	11.37323982	20.17811124	22.16196379	17.45229163	0.128983853	6.131
37	630	HARDING	630	SD	0	2.04722764	24.5208136	16.90410514	17.84036408	0.258735024	3.589
37	650	HUGHES	650	SD	0	14.61430542	11.86474533	19.36983402	86.09222428	5.52235697	7.009
37	670	HUTCHINSON	670	SD	0	4.338631569	17.0742664	14.68278913	15.8586402	0.508012083	13.904
37	690	HYDE	690	SD	0	7.004426378	23.00888889	28.93952123	25.1832701	0.085203252	3.69
37	710	JACKSON	710	SD	0	10.33579919	17.07746586	32.92381133	15.35270612	0.571016692	2.636
37	730	JERAULD	730	SD	0	4.778169418	25.75330124	26.38591816	34.97551582	0.208700138	5.816
37	750	JONES	750	SD	0	7.592749974	35.56355052	29.40677788	22.26616305	0.657349701	3.177
37	770	KINGSBURY	770	SD	0	4.452752831	23.00982429	22.4781856	18.10749967	0.192659118	12.805
37	790	LAKE	790	SD	0	5.477030993	16.88449794	20.4937394	12.70190915	1.28037806	12.379
37	810	LAWRENCE	810	SD	0	13.49644397	2.424727011	9.306848659	11.06388889	4.071364943	13.92
37	830	LINCOLN	830	SD	0	7.888154428	16.1584423	10.48706711	16.411448	0.888992671	13.918
37	850	LYMAN	850	SD	0	10.48845041	30.34835043	18.40728756	20.56130492	0.051460142	6.335
37	870	MCCOOK	870	SD	0	8.090571281	15.46740985	19.2291909	14.44844255	0.285672741	10.316
37	890	MCPHERSON	890	SD	0	1.930400425	31.14784591	18.4118608	21.62516526	0.2453385	8.774
37	910	MARSHALL	910	SD	0	3.038819008	31.79188679	26.37842418	22.29387841	0.188595388	9.54
37	930	MEADE	930	SD	0	5.544417349	21.17044069	16.4689514	17.55625617	1.021302909	11.482
37	950	MELLETTE	950	SD	0	6.295893948	24.83287361	21.72274702	21.36900309	0.272775364	5.293
37	970	MINER	970	SD	0	4.760943967	19.73593601	26.61942853	19.76399236	0.465544413	8.376
37	990	MINNEHAHA	990	SD	0	6.74737249	5.520860198	15.86165933	12.17431986	6.644755465	50.872
37	1010	MOODY	1010	SD	0	16.10918463	21.26093929	16.38774341	14.77904821	0.608809747	9.603
37	1030	PENNINGTON	1030	SD	0	12.06116672	9.160197221	23.8646845	17.29660508	5.25516211	20.079
37	1050	PERKINS	1050	SD	0	3.731291346	27.277802	23.05104967	24.33425873	0.636136285	8.717
