wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"imapext","Jul2000","4","","4","","","","","","","4","","","","","","","4","","","","","",""
"imapext","Aug2000","64","","35","","","29","","","","7","","","5","","","","7","","","3","","",""
"imapext","Sep2000","5","","2","","","3","","","","2","","","1","","","","2","","","1","","",""
"imapext","Oct2000","27","","12","","2","13","","","","5","","1","2","","","","3","","1","2","","",""
"imapext","Nov2000","65","","52","","","13","","","","15","","","2","","","","13","","","2","","",""
"imapext","Dec2000","11","","6","","","5","","","","2","","","1","","","","2","","","1","","",""
"imapext","Jan2001","21","","12","","1","8","","","","7","","1","1","","","","7","","1","1","","",""
"imapext","Feb2001","44","","31","","","13","","","","10","","","2","","","","8","","","2","","",""
"imapext","Mar2001","22","","17","","","5","","","","9","","","1","","","","8","","","1","","",""
"imapext","Apr2001","10","","9","","","1","","","","6","","","1","","","","5","","","1","","",""
"imapext","May2001","7","1","3","","","3","","1","","1","","","1","","1","","1","","","1","","1",""
"imapext","Jun2001","11","3","6","","","2","","3","","2","","","1","","1","","2","","","1","","1",""
"imapext","Jul2001","53","2","46","","1","4","","2","","12","","1","1","","1","","11","","1","1","","1",""
"imapext","Aug2001","21","2","17","","1","1","","2","","9","","1","1","","1","","9","","1","1","","1",""
"imapext","Sep2001","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"imapext","Oct2001","15","1","5","","","10","","","","4","","","2","","","","4","","","2","","",""
"imapext","Nov2001","10","","6","","2","2","","","","5","","1","2","","","","4","","1","2","","",""
"imapext","Dec2001","68","2","57","","","9","","2","","19","","","2","","1","","17","","","2","","1",""
"imapext","Jan2002","12","4","8","","","","","4","","4","","","","","1","","4","","","","","1",""
"imapext","Feb2002","11","1","8","","","2","","1","","4","","","2","","1","","4","","","2","","1",""
"imapext","Mar2002","41","3","35","","","3","","3","","12","","","1","","1","","10","","","1","","1",""
"imapext","Apr2002","42","12","18","","","12","","12","","5","","","2","","1","","5","","","2","","1",""
"imapext","May2002","18","2","14","","","2","","2","","5","","","1","","1","","5","","","1","","1",""
"imapext","Jun2002","72","1","44","","","27","","1","","8","","","3","","1","","7","","","2","","1",""
