wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"ipsec","Sep2000","126","21","85","16","1","16","4","1","3","42","2","1","7","2","1","2","32","2","1","6","1","1","1"
"ipsec","Oct2000","254","36","170","30","4","35","3","8","4","61","9","1","9","2","5","1","38","9","1","9","2","5","1"
"ipsec","Nov2000","122","16","78","21","1","21","1","","","35","3","1","7","1","","","25","3","1","6","1","",""
"ipsec","Dec2000","107","30","74","15","","12","1","2","3","36","8","","8","1","2","1","30","8","","7","1","2","1"
"ipsec","Jan2001","191","21","154","12","1","20","2","1","1","35","5","1","7","1","1","1","24","5","1","7","1","1","1"
"ipsec","Feb2001","122","13","83","16","7","13","","1","2","49","6","4","5","","1","1","34","6","4","5","","1","1"
"ipsec","Mar2001","207","32","126","23","13","26","8","6","5","49","6","4","11","2","5","1","36","6","4","9","1","5","1"
"ipsec","Apr2001","100","10","79","7","2","7","4","","1","34","6","1","4","2","","1","26","6","1","3","1","","1"
"ipsec","May2001","93","7","70","12","4","2","1","3","1","47","5","2","1","1","3","1","34","5","2","1","1","3","1"
"ipsec","Jun2001","151","14","90","15","7","33","1","2","3","32","5","3","5","1","1","1","26","5","3","5","1","1","1"
"ipsec","Jul2001","183","23","137","17","2","21","3","","3","55","11","2","7","1","","1","42","11","2","6","1","","1"
"ipsec","Aug2001","478","64","285","64","24","61","25","11","8","92","11","4","13","3","9","1","59","11","4","9","2","8","1"
"ipsec","Sep2001","111","25","74","6","2","19","2","8","","32","4","2","8","1","6","","22","4","2","7","1","6",""
"ipsec","Oct2001","157","21","117","12","3","14","2","9","","59","4","2","7","2","4","","42","4","2","6","2","4",""
"ipsec","Nov2001","311","42","188","33","5","66","6","10","3","68","4","3","8","2","5","1","47","4","3","5","1","5","1"
"ipsec","Dec2001","430","56","278","56","18","51","23","1","3","61","6","4","8","1","1","1","45","6","4","6","1","1","1"
"ipsec","Jan2002","43","8","21","7","4","7","2","2","","17","6","3","5","2","1","","14","6","3","4","2","1",""
"ipsec","Feb2002","188","33","147","6","2","17","11","5","","55","3","2","9","3","2","","41","3","2","5","3","2",""
"ipsec","Mar2002","596","37","439","39","42","48","23","2","3","83","6","3","10","4","2","1","59","6","3","7","3","2","1"
"ipsec","Apr2002","239","25","181","16","9","24","6","3","","63","7","3","9","2","2","","45","6","3","8","2","2",""
"ipsec","May2002","206","49","141","12","15","34","2","2","","56","5","2","11","1","1","","42","5","2","10","1","1",""
"ipsec","Jun2002","363","37","254","30","12","37","12","15","3","60","5","2","6","1","5","2","43","5","2","6","1","5","1"
"ipsec","Jul2002","273","41","197","19","11","21","20","5","","63","8","2","7","2","1","","40","8","2","7","2","1",""
"ipsec","Aug2002","196","13","154","8","9","8","14","3","","46","3","2","6","3","2","","34","3","2","6","3","2",""
